sku,name,shortDescription,longDescription,tags,categories,attributes,attributeValues,filters,ragularPrice,quantity,manageStock,shippingWeight,thumbnails,image,status,stockStatus
SKU11,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain || Peach || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_15.0.jpg|| 361_15.1.jpg,361_15.0.jpg,live,in
SKU12,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Lime || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_17.0.jpg|| 361_17.1.jpg,361_17.0.jpg,live,in
SKU13,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain || Green|| Silk Tulle_361|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_19.0.jpg|| 361_19.1.jpg,361_19.0.jpg,live,in
SKU14,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk ||  Plain || Lilac || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_27.0.jpg|| 361_27.1.jpg,361_27.0.jpg,live,in
SKU15,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk Plain|| Purple|| Silk Tulle_361|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_26.0.jpg|| 361_26.1.jpg,361_26.0.jpg,live,in
SKU16,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain|| Red|| Silk Tulle_361|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_06.0.jpg|| 361_06.1.jpg,361_06.0.jpg,live,in
SKU17,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain|| Burgundy|| Silk Tulle_361|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_29.0.jpg|| 361_29.1.jpg,361_29.0.jpg,live,in
SKU18,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain|| Brown|| Silk Tulle_361|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_08.0.jpg|| 361_08.1.jpg,361_08.0.jpg,live,in
SKU19,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain|| Navy Blue|| Silk Tulle_361|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_07.0.jpg|| 361_07.1.jpg,361_07.0.jpg,live,in
SKU20,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain|| Black|| Silk Tulle_361|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_9.0.jpg|| 361_9.1.jpg,361_9.0.jpg,live,in
SKU21,Viscose Plain Dyed,"Viscose is a natural fibre, and can be made into different types of fabrics.","Viscose is a natural fibre, and can be made into different types of fabrics. This fabric is great for draped outfits.","Viscose, Plain Dyed,Womens,Kids,Lining",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Viscose_Plain Dyed|| Plain|| 04-E|| Viscose_Craco Unito|| 54|| Natural Viscose|| Lightweight || great for draping.,Plain||Viscose||Spring||Summer||Lining,950,8.6,no,0.95,cracounito_04-E.0.jpg|| cracounito_04-E.1.jpg,cracounito_04-E.0.jpg,live,in
SKU22,Viscose Plain Dyed,"Viscose is a natural fibre, and can be made into different types of fabrics.","Viscose is a natural fibre, and can be made into different types of fabrics. This fabric is great for draped outfits.","Viscose, Plain Dyed,Womens,Kids,Lining",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Viscose_Plain Dyed|| Plain|| 3185-Peach|| Viscose_Craco Unito|| 54|| Natural Viscose|| Lightweight || great for draping.,Plain||Viscose||Spring||Summer||Lining,950,8.6,no,0.95,cracounito_3185-Pea.0.jpg|| cracounito_3185-Pea.1.jpg,cracounito_3185-Pea.0.jpg,live,in
SKU23,Viscose Plain Dyed,"Viscose is a natural fibre, and can be made into different types of fabrics.","Viscose is a natural fibre, and can be made into different types of fabrics. This fabric is great for draped outfits.","Viscose, Plain Dyed,Womens,Kids,Lining",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Viscose_Plain Dyed|| Plain|| 05-A|| Viscose_Craco Unito|| 54|| Natural Viscose|| Lightweight || great for draping.,Plain||Viscose||Spring||Summer||Lining,950,8.6,no,0.95,cracounito_05-A.0.jpg|| cracounito_05-A.1.jpg,cracounito_05-A.0.jpg,live,in
SKU24,Duchess Silk,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Silk|| Satin|| Fuchsia|| Duchess Satin Silk_322|| 56|| Silk|| Mediumweight,Satin||Silk,1800,5.4,no,1.45,TEGG-L.Pink-56.0.jpg|| TEGG-L.Pink-56.1.jpg,TEGG-L.Pink-56.0.jpg,live,in
SKU25,Duchess Silk,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Silk|| Satin|| Pink|| Duchess Satin Silk_322|| 56|| Silk|| Mediumweight,Satin||Silk,1800,5.4,no,1.45,TEGG-D.Pink-56.0.jpg|| TEGG-D.Pink-56.1.jpg,TEGG-D.Pink-56.0.jpg,live,in
SKU26,Duchess Silk,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Silk|| Satin|| N/A|| Duchess Satin Silk_322|| 56|| Silk|| Mediumweight,Satin||Silk,1800,5.4,no,1.45,332-Purple.0.jpg|| 332-Purple.1.jpg,332-Purple.0.jpg,live,in
SKU27,Satin Metalic,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Satin_Metalic|| Satin|| Brown|| Stretch Leather Finish_99014|| 56|| Silk|| Mediumweight,Satin||Silk||Dresses||Blouses||Bridal,1600,5.85,no,1.7,99014_27.0.jpg|| 99014_27.1.jpg,99014_27.0.jpg,live,in
SKU28,Satin Metalic,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Satin_Metalic|| Satin|| Black|| Stretch Leather Finish_99014|| 56|| Silk|| Mediumweight,Satin||Silk||Dresses||Blouses||Bridal,1600,5.85,no,1.7,99014_Black.0.jpg|| 99014_Black.1.jpg,99014_Black.0.jpg,live,in
SKU29,Satin Metalic,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Satin_Metalic|| Satin|| Grey|| Stretch Leather Finish_99014|| 56|| Silk|| Mediumweight,Satin||Silk||Dresses||Blouses||Bridal,1600,5.85,no,1.7,99014_650.0.jpg|| 99014_650.1.jpg,99014_650.0.jpg,live,in
SKU30,Satin Metalic,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Satin_Metalic|| Satin|| Silver|| Stretch Leather Finish_99014|| 56|| Silk|| Mediumweight,Satin||Silk||Dresses||Blouses||Bridal,1600,5.85,no,1.7,99014_80.0.jpg|| 99014_80.1.jpg,99014_80.0.jpg,live,in
SKU31,Satin Metalic,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Satin_Metalic|| Satin|| Gold|| Stretch Leather Finish_99014|| 56|| Silk|| Mediumweight,Satin||Silk||Dresses||Blouses||Bridal,1600,5.85,no,1.7,99014_307.0.jpg|| 99014_307.1.jpg,99014_307.0.jpg,live,in
SKU32,Satin Metalic,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Satin_Metalic|| Satin|| White|| Stretch Leather Finish_99014|| 56|| Silk|| Mediumweight,Satin||Silk||Dresses||Blouses||Bridal,1600,5.85,no,1.7,99014_LUC.0.jpg|| 99014_LUC.1.jpg,99014_LUC.0.jpg,live,in
SKU33,Organza Silk,Silk is the most popular natural fabric after Cotton. ,"Silk is the most popular natural fabric after Cotton. Organza is a lightweight, mesh like weave that is perfect for overlays and linings, as well as evening wear.","Silk, Organza, Natural , Lining, Scarves,Dresses, Womens,Bridal,Evening Gowns,Skirts,Blouses",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Organza_Silk|| Plain|| Black|| Waterproof Silk Organza_355/Essen 0024 v.nero|| 58|| Silk|| Lightweight|| Fine || Meshlike and Translucent fabric,Silk||Lining||Blouses||Skirts,2400,7,no,1.5,355_Essen0024V.ner.0.jpg|| 355_Essen0024V.ner.1.jpg,355_Essen0024V.ner.0.jpg,live,in
SKU34,Velvet Polyester ,,,"Polyester, Manmade, Velvet ",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Velvet_Polyester || Plain|| 02-B|| Velvet_Meono Unito|| 50|| Polyester|| Lightweight || great for draping.,Polyester,1350,4,no,1.35,MeonoUnito_02-B.0.jpg|| MeonoUnito_02-B.1.jpg,MeonoUnito_02-B.0.jpg,live,in
SKU35,Jaquards Fancy,,,"Metallic, Jacquards, Fancy,Womenswear, dresses, eveninggowns",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Jaquards_Fancy|| Jacquards|| Silver|| Metallic Lame_88000|| 58|| Lightweight || great for draping.,jacquard||dresses||skirts||blends,2200,10.3,no,1.6,88000_002-Silver.0.jpg|| 88000_002-Silver.1.jpg,88000_002-Silver.0.jpg,live,in
SKU36,Duchess Stretch,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin, Stretch , Bestsellers, Trending,womenswear, dresses,blouses,",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Stretch|| Plain|| 307|| Duchess Silk Stretch_Watusso B|| 56|| Silk|| Lightweight || great for draping.,Silk||Blends||Blouses||Dresses||Stretch,1800,5,no,1.7,watussoB_307.0.jpg|| watussoB_307.1.jpg,watussoB_307.0.jpg,live,in
SKU37,Duchess Stretch,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin, Stretch , Bestsellers, Trending,womenswear, dresses,blouses,",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Stretch|| Plain|| 605|| Duchess Silk Stretch_Watusso B|| 56|| Silk|| Lightweight || great for draping.,Silk||Blends||Blouses||Dresses||Stretch,1800,5,no,1.7,watussoB_605.0.jpg|| watussoB_605.1.jpg,watussoB_605.0.jpg,live,in
SKU38,Duchess Stretch,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin, Stretch , Bestsellers, Trending,womenswear, dresses,blouses,",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Stretch|| Plain|| 43|| Duchess Silk Stretch_Watusso B|| 56|| Silk|| Lightweight || great for draping.,Silk||Blends||Blouses||Dresses||Stretch,1800,5,no,1.7,watussoB_43.0.jpg|| watussoB_43.1.jpg,watussoB_43.0.jpg,live,in
SKU39,Duchess Stretch,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin, Stretch , Bestsellers, Trending,womenswear, dresses,blouses,",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Stretch|| Plain|| 4|| Duchess Silk Stretch_Watusso B|| 56|| Silk|| Lightweight || great for draping.,Silk||Blends||Blouses||Dresses||Stretch,1800,5,no,1.7,watussoB_04.0.jpg|| watussoB_04.1.jpg,watussoB_04.0.jpg,live,in
SKU40,Duchess Stretch,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin, Stretch , Bestsellers, Trending,womenswear, dresses,blouses,",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Stretch|| Plain|| BCO|| Duchess Silk Stretch_Watusso B|| 56|| Silk|| Lightweight || great for draping.,Silk||Blends||Blouses||Dresses||Stretch,1800,5,no,1.7,watussoB_BCO.0.jpg|| watussoB_BCO.1.jpg,watussoB_BCO.0.jpg,live,in
SKU41,Duchess Stretch,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin, Stretch , Bestsellers, Trending,womenswear, dresses,blouses,",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Stretch|| Plain|| Grey|| Duchess Silk Stretch_L17766950|| 56|| Silk|| Lightweight || great for draping.,Silk||Blends||Blouses||Dresses||Stretch,1800,5,no,1.7,L17766950_51.0.jpg|| L17766950_51.1.jpg,L17766950_51.0.jpg,live,in
SKU42,Duchess Stretch,"Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk satin is a fluid fabric with a lustrous face, which makes it a very popular fabric.","Silk, Satin, Stretch , Bestsellers, Trending,womenswear, dresses,blouses,",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Duchess_Stretch|| Plain|| 80|| Duchess Silk Stretch_L17766950|| 56|| Silk|| Lightweight || great for draping.,Silk||Blends||Blouses||Dresses||Stretch,1800,5,no,1.7,L17766950_80.0.jpg|| L17766950_80.1.jpg,L17766950_80.0.jpg,live,in
